primary/050|#FAFFFF|#FFFAFC|#FAFDFF|#FFFCFA|#FCFCFC|#FFFDFA|#FBFCFE|#FFFCFA|#FFFBFA|#FFFDFA
primary/100|#CDFCFF|#FFEBF4|#E7F3FF|#FDEEE5|#F2F2F2|#FFF0D4|#EEF2F7|#FFEBE3|#FFEDE9|#FFF0D4
primary/150|#A6EAF2|#FFCBE4|#CADDFF|#E7D9D2|#DFDFDF|#FDD792|#D8DDE4|#FFD0C2|#FFD0C7|#FAD896
primary/200|#7DDAE5|#FCADD5|#ABCAFF|#D9C4B8|#CCCCCC|#F2C162|#C3CAD2|#FFB49C|#FFB3A6|#EEC269
primary/250|#53C6D2|#EB92C0|#8FB3F3|#C9AC9B|#B4B4B4|#E0A82C|#ACB3BD|#FF906D|#FD907E|#DDAA3B
primary/300|#20B1BE|#D77AAB|#769DE1|#BA947E|#9B9B9B|#C99200|#969EA8|#F27147|#EA7664|#C89300
primary/350|#009AA6|#BD6795|#6187CB|#AB7D63|#828282|#AE7E00|#818892|#DB592D|#CE6353|#AD7F00
primary/400|#00828D|#A1577E|#4D72B4|#956950|#696969|#946B00|#6D747C|#C2420F|#B05346|#936B00
primary/450|#006C75|#864768|#3A5E9C|#7B5742|#525252|#7B5800|#5A6067|#A53200|#924439|#7A5900
primary/500|#005A61|#6F3A56|#2C4D86|#654837|#3E3E3E|#664900|#4A4F55|#892800|#7A382E|#463508
primary/550|#004B51|#5D3048|#223F73|#543C2D|#2C2C2C|#563C00|#3D4147|#742000|#662E25|#28200B
primary/600|#003F45|#4F283D|#1B3563|#473226|#1E1E1E|#493200|#34373B|#631A00|#57261F|#141108
primary/650|#00353A|#432133|#162C54|#3B2A20|#0F0F0F|#3D2A00|#2B2E32|#541500|#4A1F19|#0B0906
secondary/050|#E5FFFB|#FFF6F6|#EFF6FF|#F8F2D6|#FAFAFA|#FFF6F6|#FFF1F1|#DBFEFA|#F6F8FF|#FFFAE7
secondary/100|#CAFEF7|#FFECEC|#DEEDFF|#EFE7BF|#F0F0F0|#FFECEC|#FFE4E4|#C5F7F2|#ECF1FF|#FFF2C3
secondary/150|#A0EEE4|#FFCECF|#C5DFFF|#E1E29C|#DFDFDF|#FFCFCD|#FFCECF|#A3EDE6|#CFDCFF|#EFDC98
secondary/200|#74DED3|#FFB1B2|#A3CCFF|#CFC072|#CCCCCC|#FFB1B0|#FAB4B6|#79DDD6|#B4C7FF|#E1C86D
secondary/250|#43CABE|#F39497|#7BB6FE|#BAA749|#B4B4B4|#FE8D8E|#E99A9D|#4DC9C1|#95AFFF|#CEB140
secondary/300|#00B5A8|#DF7B7F|#60A0EC|#A58D16|#9B9B9B|#EB7276|#D58286|#0BB4AC|#7A96F8|#B99A00
secondary/350|#009D91|#C4686C|#498AD6|#8F7700|#828282|#CF6063|#BF6C71|#009C95|#6781DB|#A18500
secondary/400|#00857B|#A7585C|#3374BF|#796500|#696969|#B05154|#A8575D|#00857F|#576DBB|#887100
secondary/450|#006E66|#8B484B|#1F5FA6|#645400|#525252|#934245|#90444A|#006E69|#475A9C|#715D00
secondary/500|#005B55|#743B3E|#0F4E90|#534500|#3E3E3E|#7B3638|#7B353B|#005B57|#3A4A82|#423708
secondary/550|#004C46|#613033|#05417C|#453900|#2C2C2C|#672C2E|#69292F|#004C48|#303E6D|#26210B
secondary/600|#00403B|#52282A|#02366A|#3A3000|#1E1E1E|#572426|#5A2227|#00403D|#28345D|#141109
secondary/650|#003632|#462123|#012D5B|#312900|#0F0F0F|#4A1E1F|#4C1B20|#003633|#212B4F|#0B0A06
tertiary/050|#E8FFF2|#FFF9EF|#DDFDF9|#E1FDEC|#FAFAFA|#F5F9FF|#ECFAE7|#FFF4E1|#FFF8E9|#FFF9EF
tertiary/100|#D3FEE5|#FFF0D7|#C9F6F1|#CFF7DF|#F0F0F0|#EAF2FF|#DFF2D7|#FFE8C1|#FFF0D1|#FFF0D6
tertiary/150|#AFEDCB|#FFD68F|#AAEBE4|#B2ECCB|#DFDFDF|#CADDFF|#CBE6BF|#FFD68E|#F7D99A|#F6D8A2
tertiary/200|#8ADEB2|#FBBD45|#83DBD3|#90DDB2|#CCCCCC|#ACCAFF|#B2D5A3|#FABE49|#EBC36F|#EAC37B
tertiary/250|#66CA98|#E6A500|#5CC7BE|#6EC999|#B4B4B4|#88B2FF|#99C088|#E6A600|#D8AB44|#D8AB56
tertiary/300|#43B581|#CB9100|#33B2A9|#4EB481|#9B9B9B|#699BF7|#81AB6E|#CA9100|#C59407|#C49430
tertiary/350|#319E6D|#B07D00|#009C93|#319E6C|#828282|#5885DB|#6B9559|#AF7E00|#AB8000|#AE7E02
tertiary/400|#28865C|#966A00|#00857D|#0D8858|#696969|#4A71BB|#578044|#956A00|#916C00|#946B00
tertiary/450|#206F4C|#7C5700|#006E67|#007147|#525252|#3C5D9C|#446B32|#7C5800|#795900|#7B5800
